id,startup_name,about,description,website,category,funding_stage,funding_amount,headquarters,founded_year,source,date_added
001,OpenAI,Foundation Model Research & Deployment,OpenAI continues leading AI research with GPT-4o DALL-E and ChatGPT. Revenue hit $25B annualized.,https://openai.com,Generative AI,Late Stage,"$110B",San Francisco USA,2015,Forbes AI 50,2026-03-30
002,Anthropic,AI Safety Research & Claude LLMs,Anthropic advances Claude LLMs with focus on safe AI. Raised $30B Series D.,https://www.anthropic.com,Generative AI,Series D,"$30B",San Francisco USA,2021,Forbes AI 50,2026-03-30
003,xAI,Foundation Models & Grok AI,xAI continues building Grok LLMs and Colossus supercomputer after $20B Series E.,https://x.ai,Generative AI,Series E,"$20B",Memphis USA,2023,Crunchbase,2026-03-30
004,Perplexity AI,AI-Powered Answer Engine,Perplexity AI provides direct cited answers using real-time web search and LLMs.,https://www.perplexity.ai,Generative AI,Series B,"$1.5B",San Francisco USA,2022,Forbes AI 50,2026-03-30
005,Mistral AI,European Foundation Models,Mistral AI develops open-weight and commercial LLMs challenging US dominance.,https://mistral.ai,Generative AI,Series D,"$2B",Paris France,2023,Forbes AI 50,2026-03-30
006,Anduril Industries,AI-Powered Defense Technology,Anduril pairs AI software with autonomous defense hardware including drones and surveillance systems.,https://www.anduril.com,Robotics / Defense,Series F,"$3B",Costa Mesa USA,2017,Crunchbase,2026-03-30
007,Figure AI,AI-Powered Humanoid Robots,Figure builds commercially viable autonomous humanoid robots for manufacturing and logistics.,https://www.figure.ai,Robotics,Series B,"$1.5B+",Sunnyvale USA,2022,Forbes AI 50,2026-03-30
008,Cognition,Devin — AI Software Engineer,Cognition builds Devin the first fully autonomous AI software engineer.,https://www.cognition.ai,AI Agents,Series B,"$175M",San Francisco USA,2023,Forbes AI 50,2026-03-30
009,Sierra AI,AI Agents for Customer Experience,Sierra AI builds conversational AI agents for enterprise customer service.,https://www.sierra.ai,AI Agents,Series B,"$110M",San Francisco USA,2023,Forbes AI 50,2026-03-30
010,Glean,AI-Powered Enterprise Search,Glean provides AI-powered enterprise search across all company data sources.,https://www.glean.com,AI/ML,Series D,"$200M",Palo Alto USA,2019,Forbes AI 50,2026-03-30
011,Scale AI,AI Data Infrastructure,Scale AI provides data labeling RLHF and evaluation for the world's most advanced AI models.,https://scale.com,AI/ML,Series F,"$1B+",San Francisco USA,2016,Forbes AI 50,2026-03-30
012,Hugging Face,Open-Source AI Model Hub,Hugging Face hosts over 1M models and datasets as the central open-source AI platform.,https://huggingface.co,AI/ML,Series D,"$235M",New York USA / Paris France,2016,Forbes AI 50,2026-03-30
013,Anysphere,AI-Native Code Editor (Cursor),Anysphere builds Cursor the popular AI-powered code editor for natural language coding.,https://www.anysphere.io,DevTools,Series B,"$400M",San Francisco USA,2022,topstartups.io,2026-03-30
014,Abridge,AI Medical Documentation,Abridge generates clinical documentation from patient-provider conversations using AI.,https://www.abridge.com,HealthTech,Series C,"$250M",Pittsburgh USA,2018,Forbes AI 50,2026-03-30
015,Wiz,Cloud Security & AI Threat Detection,Wiz provides cloud security using AI to detect and prioritize risks across cloud infrastructure.,https://www.wiz.io,Cybersecurity,Series E,"$1B+",Tel Aviv Israel / New York USA,2020,Forbes AI 50,2026-03-30
016,Viz.ai,AI-Powered Medical Imaging,Viz.ai uses AI to analyze medical images in real-time and alert care teams to critical conditions.,https://www.viz.ai,HealthTech,Series D,"$100M",San Francisco USA,2016,Medical Startups,2026-03-30
017,Sana Labs,AI-Powered Corporate Learning,Sana Labs uses AI to create personalized corporate learning experiences.,https://www.sanalabs.com,EdTech,Series B,"$55M",Stockholm Sweden,2016,Seedtable,2026-03-30
018,LMArena,LLM Benchmarking Platform,LMArena provides comprehensive benchmarking for large language models.,https://lmarena.ai,AI/ML,Series A,"$100M",San Francisco USA,2023,Crunchbase,2026-03-30
019,Runway,Generative AI for Creative Content,Runway provides generative AI tools for video generation and multimedia creation.,https://runwayml.com,Generative AI,Series D,"$141M",New York USA,2018,Forbes AI 50,2026-03-30
020,Stripe,AI-Powered Payments Infrastructure,Stripe integrates AI for fraud detection and automated financial operations globally.,https://stripe.com,FinTech,Late Stage,"$8.5B valuation",San Francisco USA,2010,Seedtable,2026-03-30
