event_id,startup_name,round_date,month,amount_display,amount_usd_m,stage,valuation_display,valuation_usd_m,investors,about,source,source_urls,verification_status,in_registry,notes
round-088,EvenUp,2025-10-07,2025-10,$150M,150,Series E,$2B,2000,Bessemer; Lightspeed; Bain Capital; SignalFire,AI for personal injury law,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-089,Reflection AI,2025-10-09,2025-10,$2B,2000,Series B,$8B,8000,Nvidia,Open frontier models; second mega-round of 2025,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-090,Lila Sciences,2025-10-14,2025-10,$350M,350,Series A,,,Braidwell; Collective Global,Science superintelligence; second round of 2025,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-091,Starship Technologies,2025-10-15,2025-10,$50M,50.0,Series C,~$500M (est.),500.0,Dorset Capital; Matrix Partners; MetaPlanet; One Way Ventures,Autonomous sidewalk delivery robots at scale,"Starship (official), StartupIntros, TechCrunch",https://www.starship.xyz/newsroom,partial,True,
round-092,LangChain,2025-10-20,2025-10,$125M,125,,$1.25B,1250,I; V; P,Agent engineering platform,LangChain announcement; TechCrunch,['https://www.langchain.com/blog/series-b'],verified,True,
round-093,OpenEvidence,2025-10-20,2025-10,$200M,200,Series C,$6B,6000,,Medical AI; second round of 2025,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-094,Sesame,2025-10-21,2025-10,$250M,250,Series B,,,Sequoia; Spark Capital; SignalRank,Voice AI,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-095,Uniphore,2025-10-22,2025-10,$260M,260,Series F,$2.5B,2500,Snowflake Ventures; Nvidia; Databricks Ventures; AMD,Enterprise AI,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-096,Crusoe,2025-10-24,2025-10,$1.375B,1375,,$10B,10000,,AI factory company; valuation above $10B,Crusoe announcement,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,verified,True,
round-097,Mercor,2025-10-27,2025-10,$350M,350,Series C,,,,AI hiring / talent marketplace,CNBC,https://www.cnbc.com/2025/10/27/ai-hiring-startup-mercor-funding.html,verified,True,valuation figure truncated in captured evidence
round-098,Fireworks AI,2025-10-28,2025-10,$250M,250,Series C,$4B,4000,,Open-source model application platform,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-099,Emerald AI,2025-10-29,2025-10,$18M,18,,,,,Data-center energy orchestration; total $42.5M,Emerald AI announcement,['https://www.emeraldai.co/news'],verified,True,
