id,startup_name,about,description,website,category,funding_stage,funding_amount,headquarters,founded_year,source,date_added
001,OpenAI,Foundation Model Research & Deployment,OpenAI is the leading AI research and deployment company behind GPT-4o DALL-E and ChatGPT with estimated annualized revenue of $25 billion.,https://openai.com,Generative AI,Late Stage,"$110B",San Francisco USA,2015,Forbes AI 50,2026-01-30
002,Anthropic,AI Safety Research & Claude LLMs,Anthropic builds the Claude family of LLMs with focus on safe and scalable AI systems. Raised over $18.2B in funding.,https://www.anthropic.com,Generative AI,Series D,"$30B",San Francisco USA,2021,Forbes AI 50,2026-01-30
003,Perplexity AI,AI-Powered Answer Engine,Perplexity AI provides direct cited answers to questions using real-time web search and LLMs with over $1B in funding.,https://www.perplexity.ai,Generative AI,Series B,"$1.5B",San Francisco USA,2022,Forbes AI 50,2026-01-30
004,Mistral AI,European Foundation Models & LLMs,Mistral AI develops open-weight and commercial LLMs rivaling proprietary systems. Raised 2B euros at 13.8B euro valuation.,https://mistral.ai,Generative AI,Series D,"$2B",Paris France,2023,Crunchbase,2026-01-30
005,Cohere,Enterprise AI & LLM Platform,Cohere provides enterprise-grade LLMs and RAG solutions. Raised $600M at $7B valuation.,https://cohere.com,Generative AI,Series D,"$600M",Toronto Canada,2019,Forbes AI 50,2026-01-30
006,Scale AI,AI Data Infrastructure & Training Data Platform,Scale AI provides data labeling RLHF and evaluation services powering the world's most advanced AI models.,https://scale.com,AI/ML,Series F,"$1B+",San Francisco USA,2016,Forbes AI 50,2026-01-30
007,Hugging Face,Open-Source AI Model Hub & Platform,Hugging Face hosts over 1 million models datasets and ML applications as the central hub for open-source AI.,https://huggingface.co,AI/ML,Series D,"$235M",New York USA / Paris France,2016,Forbes AI 50,2026-01-30
008,Anduril Industries,AI-Powered Defense Technology,Anduril creates defense technology by pairing AI software with autonomous hardware systems.,https://www.anduril.com,Robotics / Defense,Series E,"$2.5B",Costa Mesa USA,2017,Crunchbase,2026-01-30
009,Figure AI,AI-Powered Humanoid Robots,Figure builds the world's first commercially viable autonomous humanoid robot.,https://www.figure.ai,Robotics,Series B,"$1.5B+",Sunnyvale USA,2022,Seedtable,2026-01-30
010,Glean,AI-Powered Enterprise Search,Glean provides AI-powered enterprise search that connects to all company data sources for instant answers.,https://www.glean.com,AI/ML,Series C,"$200M",Palo Alto USA,2019,Forbes AI 50,2026-01-30
011,Runway,Generative AI for Creative Content,Runway provides generative AI tools for video generation image editing and multimedia creation.,https://runwayml.com,Generative AI,Series D,"$141M",New York USA,2018,Forbes AI 50,2026-01-30
012,Weights & Biases,ML Experiment Tracking & Model Management,W&B provides the leading platform for ML experiment tracking dataset versioning and model management.,https://wandb.ai,AI/ML,Series C,"$250M",San Francisco USA,2017,topstartups.io,2026-01-30
013,Replit,AI-Powered Browser-Based Coding Platform,Replit is an AI-powered browser-based IDE enabling anyone to build software using natural language.,https://replit.com,DevTools,Series B,"$97M",San Francisco USA,2016,YC,2026-01-30
014,Abridge,AI Medical Documentation,Abridge uses AI to automatically generate clinical documentation from patient-provider conversations.,https://www.abridge.com,HealthTech,Series B,"$150M",Pittsburgh USA,2018,Forbes AI 50,2026-01-30
015,Cleanlab,AI Data Quality & Curation Platform,Cleanlab uses AI to find and fix data quality issues in any dataset automatically.,https://cleanlab.ai,AI/ML,Series A,"$30M",San Francisco USA,2021,topstartups.io,2026-01-30
016,Wiz,Cloud Security & AI-Powered Threat Detection,Wiz provides cloud security using AI to detect and prioritize risks across cloud infrastructure.,https://www.wiz.io,Cybersecurity,Series D,"$1B",Tel Aviv Israel / New York USA,2020,Forbes AI 50,2026-01-30
017,Stripe,AI-Powered Payments Infrastructure,Stripe is a leading payments infrastructure company integrating AI for fraud detection and revenue optimization.,https://stripe.com,FinTech,Late Stage,"$8.5B valuation",San Francisco USA,2010,Seedtable,2026-01-30
018,Duolingo,AI-Powered Language Learning,Duolingo uses AI to personalize language learning for over 500 million users worldwide.,https://www.duolingo.com,EdTech,IPO,N/A,Pittsburgh USA,2011,EdTech sector,2026-01-30
019,Viz.ai,AI-Powered Medical Imaging & Diagnostics,Viz.ai uses AI to analyze medical images in real-time and alert care teams to critical conditions.,https://www.viz.ai,HealthTech,Series C,"$75M",San Francisco USA,2016,Medical Startups,2026-01-30
020,K Health,AI-Powered Primary Care,K Health provides AI-driven primary care with a symptom checker comparing to millions of medical records.,https://khealth.com,HealthTech,Series D,"$100M",New York USA,2016,Medical Startups,2026-01-30
