id,startup_name,about,description,website,category,funding_stage,funding_amount,headquarters,founded_year,source,date_added
001,xC,Foundation Models & Grok AI,xAI builds the Grok series of LLMs and Colossus supercomputer. Closed $20B Series E in January 2026.,https://x.ai,Generative AI,Series E,"$20B",Memphis USA,2023,Crunchbase,2026-02-28
002,Cohere,Enterprise AI & LLM Platform,Cohere provides enterprise-grade LLMs and RAG solutions raising $600M at $7B valuation.,https://cohere.com,Generative AI,Series D,"$600M",Toronto Canada,2019,Forbes AI 50,2026-02-28
003,Anysphere,AI-Native Software Development Platform,Anysphere builds Cursor the popular AI-powered code editor enabling natural language coding.,https://www.anysphere.io,DevTools,Series B,"$400M",San Francisco USA,2022,topstartups.io,2026-02-28
004,Cognition,Devin — The First AI Software Engineer,Cognition builds Devin the fully autonomous AI software engineer that plans executes and debugs coding tasks.,https://www.cognition.ai,AI Agents,Series B,"$175M",San Francisco USA,2023,Forbes AI 50,2026-02-28
005,Poolside,AI Code Generation Platform,Poolside builds advanced AI models for software code generation making programming more accessible.,https://poolside.ai,Generative AI,Series B,"$500M",San Francisco USA,2023,Forbes AI 50,2026-02-28
006,Sierra AI,AI Agents for Customer Experience,Sierra AI builds conversational AI agents that handle complex customer service interactions for enterprises.,https://www.sierra.ai,AI Agents,Series B,"$110M",San Francisco USA,2023,Forbes AI 50,2026-02-28
007,7AI,AI SOC Agents & Agentic Security,7AI deploys autonomous AI agent swarms for security operations centers at Fortune 500 scale.,https://7ai.com,Cybersecurity,Series A,"$130M",Boston USA,2024,CRN,2026-02-28
008,Doppel,AI-Powered Brand Protection & Digital Risk,Doppel uses AI to detect and take down brand impersonation phishing and digital fraud in real time.,https://www.doppel.ai,Cybersecurity,Series A,"$35M",San Francisco USA,2022,topstartups.io,2026-02-28
009,Adaptive Security,AI-Powered Security Awareness Training,Adaptive Security uses AI to create dynamic personalized security awareness training.,https://www.adaptivesecurity.com,Cybersecurity,Series B,"$81M",New York USA,2023,topstartups.io,2026-02-28
010,DeepJudge,Precision AI Search for Legal Teams,DeepJudge provides enterprise search and AI-powered workflows for legal teams.,https://www.deepjudge.ai,AI/ML,Series A,"$20M",Zurich Switzerland,2021,Forbes AI 50,2026-02-28
011,Encord,The Data Engine for AI Model Development,Encord provides end-to-end data engine for AI teams to manage annotate and evaluate training data at scale.,https://encord.com,AI/ML,Series B,"$30M",London UK,2020,topstartups.io,2026-02-28
012,Blossom,AI-Powered Project Management,Blossom is an AI-native project management platform for software development teams.,https://www.blossom.co,SaaS,Series A,"$22M",Berlin Germany,2021,topstartups.io,2026-02-28
013,Omnea,AI-Driven Procurement & Spend Management,Omnea automates vendor management contract reviews and spend optimization for enterprises.,https://www.omnea.co,SaaS,Series A,"$25M",London UK,2022,topstartups.io,2026-02-28
014,Listen Labs,AI-Powered User Research Platform,Listen Labs uses AI to automate user research by conducting analyzing and synthesizing interviews at scale.,https://www.listenlabs.com,AI/ML,Series A,"$15M",San Francisco USA,2023,topstartups.io,2026-02-28
015,Starship Technologies,Autonomous Robot Delivery Vehicles,Starship develops small self-driving robotic delivery vehicles operating on sidewalks globally.,https://www.starship.xyz,Robotics,Series B,"$200M",San Francisco USA / Tallinn Estonia,2014,Seedtable,2026-02-28
