event_id,startup_name,round_date,month,amount_display,amount_usd_m,stage,valuation_display,valuation_usd_m,investors,about,source,source_urls,verification_status,in_registry,notes
round-053,Vercel,2025-07-09,2025-07,$300M,300,Series F,$9.3B,9300,,AI Cloud; announced Series F during 2025,Vercel announcement,https://vercel.com/blog/towards-the-ai-cloud-our-series-f,verified,True,
round-054,Harmonic,2025-07-10,2025-07,$100M,100,Series B,$875M,875,Kleiner Perkins,Mathematical reasoning engine,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-056,OpenEvidence,2025-07-15,2025-07,$210M,210,Series B,$3.5B,3500,Kleiner Perkins; GV,AI for clinicians; first of two 2025 rounds,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-057,Thinking Machines Lab,2025-07-15,2025-07,$2B,2000,Seed,$12B,12000,Andreessen Horowitz; Nvidia; Accel; AMD,AI research lab (Mira Murati),TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-058,Perplexity,2025-07-17,2025-07,$100M,100,,$18B,18000,,AI search; extension of prior round ($14B -> $18B),Bloomberg; Yahoo Finance,https://www.bloomberg.com/news/articles/2025-07-17/ai-startup-perplexity-valued-at-18-billion-with-new-funding,verified,False,
round-059,Surge AI,2025-07-19,2025-07,$1B,1000,,,,,Data labeling; reported raising up to / crossing $1B,Reuters; Yahoo Finance,https://www.reuters.com/business/scale-ais-bigger-rival-surge-ai-seeks-up-1-billion-capital-raise-sources-say-2025-07-01,partial,True,company stayed quiet; exact terms not confirmed in captured evidence
round-060,Reka AI,2025-07-22,2025-07,$110M,110,Series B,$1B,1000,Snowflake; Nvidia,AI research lab,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-061,Ramp,2025-07-30,2025-07,$500M,500,,$22.5B,22500,,Corporate cards and expense automation,Ramp announcement,https://ramp.com/blog/ramp-raised-500m-to-build-the-future-of-finance,verified,True,
round-062,Fal,2025-07-31,2025-07,$125M,125,Series C,$1.5B,1500,Meritech Capital Partners; Salesforce Ventures; Shopify Ventures; Google AI Futures Fund,Generative media platform,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-055,Ambience Healthcare,,2025-07,$243M,243,Series C,,,Oak HC/FT; Andreessen Horowitz; Kleiner Perkins; OpenAI Startup Fund; Smash Capital,AI healthcare operating system,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,exact day not stated in source; month only
