event_id,startup_name,round_date,month,amount_display,amount_usd_m,stage,valuation_display,valuation_usd_m,investors,about,source,source_urls,verification_status,in_registry,notes
round-043,Maven AGI,2025-06-01,2025-06,$50M,50,,,,,Enterprise AI agents for customer support,Crunchbase News,https://news.crunchbase.com/venture/voice-ai-startups-global-investment,partial,False,exact day not captured
round-044,Glean,2025-06-10,2025-06,$150M,150,Series F,$7.25B,7250,Wellington Management; Sequoia; Lightspeed; Kleiner Perkins,Enterprise AI search,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-045,Scale AI,2025-06-12,2025-06,"$14.3B (Meta, 49% stake)",14300.0,Series G,$29B (Jun 2025),29000.0,Meta; Accel; Amazon; Tiger Global; Index Ventures,"Data engine for AI: labeling, evaluation, and agent data","Reuters, Forbes, Scale (official)",https://scale.com/blog,verified,True,Meta purchased 49% for ~$14.3B (Jun 2025); company remains independently operated.
round-046,Clay,2025-06-13,2025-06,$100M,100,Series C,$3B,3000,,Sales automation; round more than doubled valuation,TechCrunch; Crunchbase News,https://techcrunch.com/2025/06/13/clay-secures-a-new-round-at-a-3b-valuation-sources-say,verified,True,
round-049,Applied Intuition,2025-06-17,2025-06,$600M,600,Series F,$15B,15000,,Autonomous vehicle software; includes tender offer,Applied Intuition announcement,['https://www.appliedintuition.com/press-releases/series-f'],verified,True,
round-050,Decagon,2025-06-22,2025-06,$131M,131,Series C,$1.5B,1500,,Enterprise AI customer support agents; one year post-stealth,Decagon announcement,https://decagon.ai/blog/series-c-announcement,verified,True,
round-051,Abridge,2025-06-23,2025-06,$300M,300,Series E,$5.3B,5300,Andreessen Horowitz; Khosla Ventures,Healthcare AI; second round of 2025,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-052,Harvey,2025-06-23,2025-06,$300M,300,Series E,$5B,5000,Kleiner Perkins; Coatue,Legal AI; second round of 2025,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-047,Anysphere (Cursor),,2025-06,$900M,900,Series C,$9.9B,9900,Thrive Capital; Andreessen Horowitz; Accel; DST Global,AI coding; second round of 2025,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,exact day not stated in source; month only
round-048,Tennr,,2025-06,$101M,101,Series C,$605M,605,IVP; Lightspeed Venture Partners; GV; Andreessen Horowitz,Healthcare AI,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,exact day not stated in source; month only
