id,slug,startup_name,about,description,website,category,subcategory,funding_stage,funding_amount,funding_amount_usd,valuation_display,valuation_usd,total_raised_display,last_round_date,investors,headquarters,city,country,region,founded_year,status,status_note,source,source_urls,date_added,last_updated,last_verified,verification_status,tags,notes
001,baseten,Baseten,Inference infrastructure for serving frontier and custom models,"Baseten provides production inference infrastructure for frontier labs and enterprises, serving models like DeepSeek-R1 and custom checkpoints at scale. It raised a $1.5B Series F at a $13B valuation in June 2026, led by Altimeter Capital, Conviction, and Spark Capital — its fourth fundraise in 18 months with 20x growth.",https://www.baseten.co,AI/ML,Inference Cloud,Series F,$1.5B,1500000000,$13B (Jun 2026),13000000000,~$2.4B across 7 rounds,2026-06-22,Altimeter Capital; Conviction; Spark Capital; Sands Capital,"San Francisco, USA",San Francisco,USA,North America,2019,active,,"Reuters, TechCrunch, Baseten (official)",https://www.baseten.co/blog/series-f,2026-09-07,2026-09-07,2026-09-07,verified,inference; gpu; model-serving,
002,cleanlab,Cleanlab,Data-centric AI: automated data quality and error correction,"Cleanlab, founded by MIT PhD Curtis Northcutt, provides automated data-quality tooling that detects and fixes label errors to improve model reliability for enterprises. It raised $25M in Series A funding led by Menlo Ventures and TQ Ventures, bringing total funding to ~$30M from Menlo, TQ, Bain Capital Ventures, and Databricks Ventures.",https://cleanlab.ai,AI/ML,Data Quality,Series A,$25M,25000000,"~$145M (Series A, Sep 2024)",145000000,~$30M across 3 rounds,2024-09-24,Menlo Ventures; TQ Ventures; Bain Capital Ventures; Databricks Ventures,"Boston, USA",Boston,USA,North America,2021,active,,"Crunchbase, DHRmap, Menlo Ventures",https://cleanlab.ai/blog/,2026-01-30,2026-09-07,2026-09-07,partial,data-quality; mlops,Series A closed Sep 2024; no newer round found as of Sep 2026.
003,crusoe,Crusoe,AI factory company: energy-first data centers for model training,"Crusoe builds AI-dedicated data centers powered by stranded and clean energy, operating large GPU clusters for lab customers. It raised over $3B at a ~$30B valuation in September 2026 from Atreides, Valor Equity, and Mubadala — tripling its valuation in ten months — after a $13B data-center contract with Jane Street was reported.",https://www.crusoe.ai,AI/ML,Data Centers,Series F,$3B+,3000000000,~$30B (Sep 2026),30000000000,$10B+ incl. debt across 17 rounds,2026-09-03,Atreides Management; Valor Equity Partners; Mubadala Capital; Founders Fund; Nvidia,"Denver, USA",Denver,USA,North America,2018,active,,"Bloomberg, TechCrunch, Reuters",https://www.crusoe.ai/blog,2026-09-07,2026-09-07,2026-09-07,verified,ai-factory; energy; data-center,
004,databricks,Databricks,"Data & AI platform: lakehouse, Unity Catalog, and agent tooling","Databricks operates the leading lakehouse data-and-AI platform used by over 15,000 enterprises. It closed a ~$5B round at a $134B valuation in late 2025 and then a new round at a $188B valuation in August 2026 led by Coatue, with revenue run-rate exceeding $5.4B and 65% year-over-year growth.",https://www.databricks.com,AI/ML,Data Platform,Series K,$5B,5000000000,$188B (Aug 2026),188000000000,$28B+ across 16 rounds,2026-08-13,Coatue Management; ICONIQ; MGX; Sands Capital; Nvidia,"San Francisco, USA",San Francisco,USA,North America,2013,active,,"Cryptobriefing via filings, SeedTable, Chopping Block",https://www.databricks.com/company/newsroom,2026-09-07,2026-09-07,2026-09-07,partial,lakehouse; spark; mlflow,Aug 2026 round at $188B per multiple secondary reports; official PR pending.
005,emerald-ai,Emerald AI,AI data centers as flexible power-grid assets,"Emerald AI builds orchestration software that turns AI data centers into flexible grid resources, shifting GPU workloads to protect power grids during stress. It raised a $150M Series A at a $1.05B valuation in August 2026 — becoming a unicorn — bringing total funding to $220M+ from investors including NVentures (Nvidia) and Radical Ventures.",https://www.emeraldai.co,AI/ML,Data Center Infrastructure,Series A,$150M,150000000,$1.05B (Aug 2026),1050000000,$220M+ across 4 rounds,2026-08-25,Radical Ventures; NVentures (Nvidia); Amplify Partners,"Phoenix, USA",Phoenix,USA,North America,2024,active,,"Business Wire, LinkedIn/press, Emerald AI (official)",https://www.emeraldai.co/news,2026-09-07,2026-09-07,2026-09-07,verified,grid; energy; data-center,
006,encord,Encord,Data engine for multimodal AI model development,"Encord provides an end-to-end data engine for curating, annotating, and evaluating multimodal training data across vision, medical imaging, and documents. It raised a $60M Series C led by Wellington Management in February 2026, bringing total funding to ~$90M as it scales AI-native data infrastructure.",https://encord.com,AI/ML,Training Data,Series C,$60M,60000000,"~$400M (est., Feb 2026)",400000000,~$90M across 5 rounds,2026-02-26,Wellington Management; Crane Venture Partners; Hoxton Ventures; Y Combinator,"London, UK",London,UK,Europe,2020,active,,"Encord (official), LinkedIn/press",https://encord.com/blog,2026-02-28,2026-09-07,2026-09-07,verified,annotation; multimodal; data-engine,Valuation estimate not officially disclosed.
007,fal,fal,"Generative media inference cloud (image, video, audio models)","fal runs an ultra-low-latency inference cloud for generative media models, powering image and video creation for thousands of apps. It raised a $140M Series D at a $4.5B valuation in December 2025 with Sequoia, Kleiner Perkins, and Nvidia joining, then discussed a $300–350M round at ~$8B in March 2026 as revenue doubled to $400M.",https://fal.ai,AI/ML,Inference Cloud,Series D,$140M,140000000,$4.5B (Dec 2025),4500000000,~$400M across 5 rounds,2025-12-09,Sequoia Capital; Kleiner Perkins; Nvidia; a16z,"San Francisco, USA",San Francisco,USA,North America,2021,active,,"fal (official), TechCrunch, The Information",https://blog.fal.ai/series-d/,2026-09-07,2026-09-07,2026-09-07,verified,generative-media; inference; diffusion,
008,fireworks-ai,Fireworks AI,"Inference platform for fast, production-grade open models","Fireworks AI provides low-latency inference and fine-tuning for open and custom models at production scale. It closed a $1.505B Series D at a $17.5B valuation in July 2026 — led by Atreides Management, Index Ventures, and others — alongside announcing $1B in ARR, up from a $4B valuation in mid-2025.",https://fireworks.ai,AI/ML,Inference Cloud,Series D,$1.505B,1505000000,$17.5B post-money (Jul 2026),17500000000,~$2B+ across 6 rounds,2026-07-15,Atreides Management; Index Ventures; Sequoia Capital; Perplexity; Nvidia,"Redwood City, USA",Redwood City,USA,North America,2022,active,,"Fireworks AI (official), Sacra, Bloomberg",https://fireworks.ai/blog/series-d,2026-09-07,2026-09-07,2026-09-07,verified,inference; open-models; compound-ai,
009,glean,Glean,Enterprise AI search and work assistant platform,Glean provides AI-powered enterprise search and an assistant grounded in company knowledge across all workplace apps. Its $150M Series F at a $7.2B valuation (June 2025) remains its latest priced round; ARR crossed $300M by May 2026 as budget pressure on AI spend became its selling point. OpenAI's competing enterprise offerings have intensified pressure on the category.,https://www.glean.com,AI/ML,Enterprise Search,Series F,$150M,150000000,$7.2B (Jun 2025),7200000000,~$770M across 7 rounds,2025-06-10,Altimeter Capital; DST Global; Coatue; ICONIQ; Kleiner Perkins,"Palo Alto, USA",Palo Alto,USA,North America,2019,active,,"Glean (official), TechCrunch, Forbes",https://www.glean.com/company/news,2026-01-30,2026-09-07,2026-09-07,verified,enterprise-search; rag; assistant,
010,groq,Groq,LPU inference hardware and fast AI inference cloud,"Groq pioneered the LPU deterministic inference architecture and now operates a fast-growing AI inference cloud. After Nvidia's ~$20B licensing deal removed its chipmaking talent, Groq raised $650M in June 2026 and another $350M in August 2026 at a $3.5B valuation — roughly half its prior mark — as it pivots to a neocloud model on Nvidia hardware.",https://groq.com,AI/ML,Inference Cloud,Series E,$350M,350000000,$3.5B (Aug 2026),3500000000,$3B+ across 12 rounds,2026-08-17,Disruptive; Rubico; BlackRock; Tiger Global,"San Francisco, USA",San Francisco,USA,North America,2016,active,,"Groq (official), TechCrunch, Bloomberg",https://groq.com/newsroom,2026-09-07,2026-09-07,2026-09-07,verified,lpu; inference; neocloud,Nvidia $20B licensing deal (late 2025) reshaped the company's trajectory.
