event_id,startup_name,round_date,month,amount_display,amount_usd_m,stage,valuation_display,valuation_usd_m,investors,about,source,source_urls,verification_status,in_registry,notes
round-025,Anthropic,2025-03-03,2025-03,$3.5B,3500,Series E,$61.5B,61500,Lightspeed; Salesforce Ventures; Menlo Ventures; General Catalyst,Frontier AI lab,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-026,Shield AI,2025-03-06,2025-03,$240M,240,Series F,$5.3B,5300,L3Harris Technologies; Hanwha Aerospace; Andreessen Horowitz; US Innovative Technology Fund,AI defense tech,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-027,Turing,2025-03-07,2025-03,$111M,111,Series E,$2.2B,2200,Khazanah Nasional; WestBridge Capital; Gaingels; Sozo Ventures,AI coding / LLM training partners,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-028,Celestial AI,2025-03-11,2025-03,$250M,250,Series C,$2.5B,2500,Fidelity; Tiger Global; BlackRock; Lip-Bu Tan,AI infrastructure (photonic interconnect),TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-029,Insilico Medicine,2025-03-13,2025-03,$110M,110,Series E,$1B,1000,Value Partners; Pudong Chuangtou,Generative AI-powered drug discovery,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-031,Momentic,2025-03-15,2025-03,$15M,15.0,Series A,Undisclosed,,Standard Capital; Dropbox Ventures; Y Combinator,AI-powered end-to-end testing for web applications,"LinkedIn/press, SaaS Startups",https://www.momentic.ai/blog,partial,True,
round-033,Nexthop AI,2025-03-25,2025-03,$110M,110,Series A,,,Lightspeed Venture Partners; Kleiner Perkins; Battery Ventures; Emergent Ventures,AI infrastructure,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-034,OpenAI,2025-03-31,2025-03,$40B,40000,Late Stage,$300B,300000,SoftBank; Thrive Capital; Microsoft; Coatue,Frontier AI lab; record-breaking round closed March 31,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-030,Lila Sciences,,2025-03,$200M,200,Seed,,,Flagship Pioneering; March Capital; General Catalyst; ARK Venture Fund,Science superintelligence platform,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,exact day not stated in source; month only
round-032,Reflection AI,,2025-03,$130M,130,Series A,$580M,580,Lightspeed Venture Partners; CRV,Autonomous coding / superintelligence systems,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,exact day not stated in source; month only
