id,startup_name,about,description,website,category,funding_stage,funding_amount,headquarters,founded_year,source,date_added
001,7AI,AI SOC Agents & Agentic Security,7AI deploys autonomous AI agent swarms for security operations centers at Fortune 500 scale. Named Fast Company Most Innovative 2026.,https://7ai.com,Cybersecurity,Series A,"$130M",Boston USA,2024,Forbes AI 50 / CRN,2026-04-30
002,DeepJudge,AI Search for Legal Teams,DeepJudge provides enterprise search and AI-powered workflows for legal teams with LLM-agnostic agentic reasoning.,https://www.deepjudge.ai,AI/ML,Series A,"$20M",Zurich Switzerland,2021,Forbes AI 50,2026-04-30
003,StackOne,Universal API for AI Agent Integration,StackOne provides a universal API layer enabling AI agents to securely connect with enterprise SaaS tools.,https://www.stackone.ai,DevTools,Seed,"$7M",London UK,2023,Forbes AI 50,2026-04-30
004,Adaptive Security,AI Security Awareness Training,Adaptive Security uses AI for dynamic personalized security training. Valued at ~$9B after latest round.,https://www.adaptivesecurity.com,Cybersecurity,Series B,"$81M",New York USA,2023,topstartups.io,2026-04-30
005,OpenAI,Foundation Model Research & Deployment,OpenAI leads AI research with GPT-4o DALL-E Sora and ChatGPT. $852B valuation $25B revenue.,https://openai.com,Generative AI,Late Stage,"$110B",San Francisco USA,2015,Forbes AI 50,2026-04-30
006,Anthropic,AI Safety & Claude LLMs,Anthropic builds Claude LLMs with focus on safety. Raised $30B Series D.,https://www.anthropic.com,Generative AI,Series D,"$30B",San Francisco USA,2021,Forbes AI 50,2026-04-30
007,xAI,Foundation Models & Grok AI,xAI builds Grok LLMs and Colossus supercomputer. $200B+ valuation after $20B Series E.,https://x.ai,Generative AI,Series E,"$20B",Memphis USA,2023,Crunchbase,2026-04-30
008,Perplexity AI,AI-Powered Answer Engine,Perplexity AI provides direct cited answers using real-time web search and LLMs.,https://www.perplexity.ai,Generative AI,Series B,"$1.5B",San Francisco USA,2022,Forbes AI 50,2026-04-30
009,Mistral AI,European Foundation Models,Mistral AI develops open-weight LLMs. Raised 2B euros at 13.8B euro valuation.,https://mistral.ai,Generative AI,Series D,"$2B",Paris France,2023,Crunchbase,2026-04-30
010,Anduril Industries,AI Defense Technology & Autonomous Systems,Anduril pairs AI software with autonomous defense hardware including drones and surveillance.,https://www.anduril.com,Robotics / Defense,Series F,"$3B+",Costa Mesa USA,2017,Forbes AI 50,2026-04-30
011,Figure AI,AI-Powered Humanoid Robots,Figure builds commercially viable autonomous humanoid robots for manufacturing and logistics.,https://www.figure.ai,Robotics,Series B,"$1.5B+",Sunnyvale USA,2022,Forbes AI 50,2026-04-30
012,Cognition,Devin — AI Software Engineer,Cognition builds Devin the first fully autonomous AI software engineer.,https://www.cognition.ai,AI Agents,Series B,"$175M",San Francisco USA,2023,Forbes AI 50,2026-04-30
013,Anysphere,AI-Native Code Editor (Cursor),Anysphere builds Cursor the AI-powered code editor for natural language programming.,https://www.anysphere.io,DevTools,Series B,"$400M",San Francisco USA,2022,topstartups.io,2026-04-30
014,Glean,AI-Powered Enterprise Search,Glean provides AI-powered enterprise search across all company data sources for instant answers.,https://www.glean.com,AI/ML,Series D,"$200M",Palo Alto USA,2019,Forbes AI 50,2026-04-30
015,Abridge,AI Medical Documentation,Abridge generates clinical documentation from conversations using AI integrating with EHR systems.,https://www.abridge.com,HealthTech,Series C,"$250M",Pittsburgh USA,2018,Forbes AI 50,2026-04-30
016,Poolside,AI Code Generation Platform,Poolside builds advanced AI models for software code generation increasing developer productivity.,https://poolside.ai,Generative AI,Series B,"$500M",San Francisco USA,2023,Forbes AI 50,2026-04-30
017,Wiz,Cloud Security & AI Threat Detection,Wiz provides cloud security using AI to detect and prioritize risks across multi-cloud environments.,https://www.wiz.io,Cybersecurity,Series E,"$1B+",Tel Aviv Israel / New York USA,2020,Forbes AI 50,2026-04-30
018,Scale AI,AI Data Infrastructure,Scale AI provides data labeling RLHF and evaluation for the world's most advanced AI models.,https://scale.com,AI/ML,Series F,"$1B+",San Francisco USA,2016,Forbes AI 50,2026-04-30
019,Sierra AI,AI Agents for Customer Experience,Sierra AI builds conversational AI agents handling complex enterprise customer service interactions.,https://www.sierra.ai,AI Agents,Series B,"$110M",San Francisco USA,2023,Forbes AI 50,2026-04-30
020,Hugging Face,Open-Source AI Model Hub,Hugging Face hosts over 1M models and datasets as the central open-source AI platform.,https://huggingface.co,AI/ML,Series D,"$235M",New York USA / Paris France,2016,Forbes AI 50,2026-04-30
021,Runway,Generative AI for Creative Content,Runway provides generative AI tools for video generation image editing and multimedia creation.,https://runwayml.com,Generative AI,Series D,"$141M",New York USA,2018,Forbes AI 50,2026-04-30
022,Encord,Data Engine for AI Development,Encord provides end-to-end data engine for managing annotating and evaluating training data at scale.,https://encord.com,AI/ML,Series B,"$30M",London UK,2020,topstartups.io,2026-04-30
023,Doppel,AI Brand Protection,Doppel detects and takes down brand impersonation phishing and digital fraud in real time.,https://www.doppel.ai,Cybersecurity,Series A,"$35M",San Francisco USA,2022,topstartups.io,2026-04-30
024,Viz.ai,AI-Powered Medical Imaging,Viz.ai analyzes medical images in real-time and alerts care teams to critical conditions.,https://www.viz.ai,HealthTech,Series D,"$100M",San Francisco USA,2016,Medical Startups,2026-04-30
025,K Health,AI-Powered Primary Care,K Health provides AI-driven primary care with symptom checking and doctor connections.,https://khealth.com,HealthTech,Series E,"$132M",New York USA,2016,Medical Startups,2026-04-30
