event_id,startup_name,round_date,month,amount_display,amount_usd_m,stage,valuation_display,valuation_usd_m,investors,about,source,source_urls,verification_status,in_registry,notes
round-100,Hippocratic AI,2025-11-03,2025-11,$126M,126,Series C,$3.5B,3500,Avenir Growth,Healthcare AI; second round of 2025,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-101,Synthesia,2025-11-03,2025-11,$200M,200,,,,,AI video avatars platform,Silicon Valley Invest Club,https://siliconvalleyinvestclub.com/ko/2025/11/03/synthesia-raises-200-million-at-a-4-billion-valuation,partial,True,valuation figure truncated in captured evidence
round-102,DeepJudge,2025-11-04,2025-11,$41.2M,41.2,Series A,,,F; e; l; i; c; i; s,Legal search engines for law firms,StartupTicker; Forbes,https://www.startupticker.ch/en/news/deepjudge-closes-41-2m-series-a-round,verified,True,
round-103,Parallel,2025-11-12,2025-11,$100M,100,Series A,,,Index Ventures; Kleiner Perkins,Web infrastructure for AI agents,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-104,Anysphere (Cursor),2025-11-13,2025-11,$2.3B,2300,Series D,$29.3B,29300,Accel; Coatue,AI coding; second round of 2025 ($2.3B at $29.3B),TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-105,Poolside,2025-11-13,2025-11,$1B,1000,,$12B,12000,N; v; i; d; i; a,Nvidia-backed $1B investment; frontier coding models,Bloomberg via FNEX,https://fnex.com/,partial,True,reported $1B from Nvidia; valuation per press (~$12B)
round-106,Harmonic,2025-11-15,2025-11,$120M,120.0,Series C,~$800M (est.),800.0,Northwestern Mutual Future Ventures; Tribe Capital; 8VC,AI insurance verification and payer-policy automation for healthcare,"StartupIntros, Harmonic (official)",https://www.harmonic.ai/about,partial,True,"Original repo listed it as 'Harmonic — project management, Series A $18M' — corrected."
round-108,Ramp,2025-11-17,2025-11,$300M,300,,$32B,32000,,Second 2025 round; total funding $2.3B,Finovate,https://finovate.com/ramp-valued-at-32-billion-after-300-million-financing-round,verified,True,
round-109,Lambda,2025-11-18,2025-11,$1.5B,1500,Series E,,,T; W; G;  ; G; l; o; b; a; l,GPU cloud ('Superintelligence Cloud'),Lambda announcement; TechCrunch,https://lambda.ai/blog/lambda-raises-over-1.5b-from-twg-global-usit-to-build-superintelligence-cloud-infrastructure,verified,True,valuation figure inconsistent across captured reports; omitted
round-110,Suno,2025-11-19,2025-11,$250M,250,Series C,$2.45B,2450,,AI music generation; $200M revenue run-rate reported at raise,TechCrunch,https://techcrunch.com/2025/11/19/legally-embattled-ai-music-startup-suno-raises-at-2-45b-valuation-on-200m-revenue,verified,True,
round-111,Genspark,2025-11-20,2025-11,$275M,275,Series B,$1.25B,1250,Emergence Capital Partners; SBI Investment; LG Technology Ventures,All-in-one AI workspace,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-112,Physical Intelligence,2025-11-25,2025-11,$600M,600,Series B,,,,Robot foundation models; total raised $1.1B to date,The Robot Report,https://www.therobotreport.com,verified,True,valuation truncated in captured evidence
round-107,Luma AI,,2025-11,$900M,900,Series C,$4B,4000,Humain; Andreessen Horowitz; AMD Ventures; Amplify Partners,Photo/video generation models,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,exact day not stated in source; month only
