event_id,startup_name,round_date,month,amount_display,amount_usd_m,stage,valuation_display,valuation_usd_m,investors,about,source,source_urls,verification_status,in_registry,notes
round-068,Coconote,2025-09-01,2025-09,$6M,6,,,,,Lecture-to-study-guide AI app,Hypepotamus,https://www.hypepotamus.com/coconote-ai-study-app-atlanta,partial,True,
round-069,Anthropic,2025-09-02,2025-09,$13B,13000,Series F,$183B,183000,Iconiq; Fidelity; Lightspeed,Frontier AI lab; second round of 2025,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-070,You.com,2025-09-03,2025-09,$100M,100,Series C,$1.5B,1500,Cox Enterprises,Personalized AI search,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-071,Sierra,2025-09-04,2025-09,$350M,350,,$10B,10000,Greenoaks Capital,Customer service AI agents (Bret Taylor),TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-072,Baseten,2025-09-05,2025-09,$150M,150,Series D,$2.1B,2100,Bond; CapitalG; IVP; Spark Capital,AI infrastructure,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-073,Cognition AI,2025-09-08,2025-09,$400M,400,Series C,$10.2B,10200,Founders Fund,AI coding agent Devin,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-074,Mistral AI,2025-09-09,2025-09,$2B,2000,Series C,$13.8B,13800,A; S; M; L,European frontier AI lab; €1.7B at €11.7B post-money,Mistral AI announcement; CNBC,https://tracxn.com/d/companies/mistral-ai/__SLZq7rzxLYqqA97jtPwO09jLDeb76RVJVb306OhciWU/funding-and-investors,verified,True,
round-075,Perplexity,2025-09-10,2025-09,$200M,200,,$20B,20000,,AI search; reported $200M at $20B two months after $18B extension,TechCrunch,https://techcrunch.com/2025/09/10/perplexity-reportedly-raised-200m-at-20b-valuation/,partial,False,reported; company did not confirm
round-076,Replit,2025-09-10,2025-09,$250M,250,,$3B,3000,,Agentic AI software creation platform,The SaaS News; Silicon Valley Invest Club,https://www.thesaasnews.com/news/replit-raises-250-million-at-3b-valuation,partial,True,single-source capture; valuation per press reports
round-077,Figure AI,2025-09-16,2025-09,,,,$39B,39000,,Valuation passed $39B; new funding round reported,The Robot Report,https://www.therobotreport.com,partial,True,valuation event; round terms not stated in captured evidence
round-078,Invisible Technologies,2025-09-16,2025-09,$100M,100,,$2B,2000,Vanara Capital; Greycroft; Tallwoods Capital; Freestyle Capital,AI training operations,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-079,Groq,2025-09-17,2025-09,$750M,750,Series D-3,$6.9B,6900,Disruptive,AI inference,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,True,
round-080,Omnea,2025-09-17,2025-09,$50M,50,Series B,,,"I; n; s; i; g; h; t;  ; P; a; r; t; n; e; r; s; ,;  ; K; h; o; s; l; a;  ; V; e; n; t; u; r; e; s",AI-powered procurement,Omnea announcement,https://www.omnea.co/press-release/series-b-announcement,verified,True,
round-081,Upscale AI,2025-09-17,2025-09,$100M,100,Seed,,,Maverick Silicon; Mayfield; StepStone Group; Stanford University; Qualcomm Ventures,AI infrastructure,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-082,Distyl AI,2025-09-23,2025-09,$175M,175,Series B,$1.8B,1800,Khosla Ventures; Lightspeed,Enterprise AI software,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-083,Cohere,2025-09-24,2025-09,$600M,600.0,Series D,~$7B (Sep 2025),7000.0,Radical Ventures; Inovia Capital; PSP Investments; Nvidia; Salesforce Ventures,"Secure enterprise LLMs, RAG, and sovereign AI","Cohere (official), TechCrunch, CNBC",https://cohere.com/blog/series-d-500m,verified,True,
round-084,Modular,2025-09-24,2025-09,$250M,250,,,,US Innovative Technology Fund; GV; Greylock; General Catalyst,AI infrastructure (compute platform),TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-085,Cerebras Systems,2025-09-30,2025-09,$1.1B,1100,Series G,$8.1B,8100,Fidelity; Atreides Management,AI compute (wafer-scale),TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-086,Periodic Labs,2025-09-30,2025-09,$300M,300,Seed,,,Felicis; Andreessen Horowitz; Nvidia; Lightspeed; Khosla Ventures,AI scientist,TechCrunch,https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/,verified,False,
round-087,Vercel,2025-09-30,2025-09,$300M,300.0,Series F,$9.3B post-money (Sep 2025),9300.0,Accel; GIC; GV; Bedrock Capital; Salesforce Ventures,Frontend cloud for Next.js and AI-native web apps (v0),"Vercel (official), Reuters, GIC",https://vercel.com/blog/series-f,verified,True,
