id,startup_name,about,description,website,category,funding_stage,funding_amount,headquarters,founded_year,source,date_added
001,7AI,AI SOC Agents & Agentic Security Platform,7AI deploys autonomous AI agent swarms for security operations centers automating alert enrichment threat investigation incident response and threat hunting at Fortune 500 scale. Named to Fast Company's Most Innovative Companies 2026 ranked #6 in Security.,https://7ai.com,Cybersecurity,Series A,"$130M",Boston USA,2024,Forbes AI 50 / CRN,2026-05-30
002,DeepJudge,Precision AI Search for Legal Teams,DeepJudge provides enterprise search and AI-powered workflows that transform firm-wide knowledge and data into a competitive advantage for legal teams. Their LLM-agnostic agentic reasoning executes complex multi-step research tasks across internal and external data sources.,https://www.deepjudge.ai,AI/ML,Series A,"$20M",Zurich Switzerland,2021,Forbes AI 50 / YC,2026-05-30
003,StackOne,Universal API for AI Agent Integration,StackOne provides a universal API layer that enables AI agents to securely connect with enterprise SaaS tools and internal systems. It acts as the middleware infrastructure allowing agentic AI to interact with any software tool through a single integration point.,https://www.stackone.ai,DevTools,Seed,"$7M",London UK,2023,Forbes AI 50,2026-05-30
004,Adaptive Security,AI-Powered Security Awareness Training,Adaptive Security uses AI to create dynamic personalized security awareness training programs that adapt to each employee's risk profile and learning patterns. Valued at approximately $9 billion after its latest funding round backed by OpenAI NVIDIA and Bain Capital Ventures.,https://www.adaptivesecurity.com,Cybersecurity,Series B,"$81M",New York USA,2023,topstartups.io,2026-05-30
005,Doppel,AI-Powered Brand Protection & Digital Risk, Doppel uses AI to detect and take down brand impersonation phishing and digital fraud across the internet in real time. The platform monitors domains social media marketplaces and app stores to protect enterprises from threat actors mimicking their brand.,https://www.doppel.ai,Cybersecurity,Series A,"$35M",San Francisco USA,2022,topstartups.io / YC,2026-05-30
006,Encord,The Data Engine for AI Model Development,Encord provides an end-to-end data engine for AI teams to manage annotate and evaluate training data at scale. The platform supports computer vision medical imaging and NLP workflows enabling teams to ship production-ready models faster with higher quality data.,https://encord.com,AI/ML,Series B,"$30M",London UK,2020,topstartups.io,2026-05-30
007,Blossom,AI-Powered Project Management for Software Teams,Blossom is an AI-native project management platform designed specifically for software development teams. It leverages AI to predict project risks automate sprint planning and provide intelligent insights into team productivity and delivery timelines.,https://www.blossom.co,SaaS,Series A,"$22M",Berlin Germany,2021,topstartups.io,2026-05-30
008,Omnea,AI-Driven Procurement & Spend Management,Omnea is an AI-powered procurement platform that automates vendor management contract reviews and spend optimization for enterprises. It uses machine learning to identify cost-saving opportunities and streamline the entire procurement lifecycle.,https://www.omnea.co,SaaS,Series A,"$25M",London UK,2022,topstartups.io,2026-05-30
009,Avoca,AI Voice Agents for Healthcare Practices,Avoca builds autonomous AI voice agents that fully handle front desk calls patient intake scheduling and insurance verification for healthcare practices. Their agents don't just assist staff — they replace routine call handling entirely reducing no-show rates and improving patient access.,https://www.avoca.ai,HealthTech,Seed,"$8M",San Francisco USA,2023,YC W26,2026-05-30
010,Harmonic,AI-Powered Business Intelligence Engine,Harmonic is an AI-powered business intelligence platform that automatically discovers analyzes and visualizes insights from enterprise data without requiring SQL or technical expertise. It uses natural language queries to generate real-time dashboards and reports.,https://www.harmonic.ai,SaaS,Series A,"$18M",San Francisco USA,2022,topstartups.io,2026-05-30
011,OpenAI,Foundation Model Research & Deployment,OpenAI is the leading AI research and deployment company behind GPT-4o DALL-E Sora and the ChatGPT platform. With an estimated annualized revenue of $25 billion and $852 billion valuation it remains the most well-funded AI startup in history.,https://openai.com,Generative AI,Late Stage,"$110B",San Francisco USA,2015,Forbes AI 50 / Crunchbase,2026-05-30
012,Anthropic,AI Safety Research & Claude LLMs,Anthropic builds the Claude family of Large Language Models with a focus on safe and scalable AI systems. The company has raised over $18.2B in funding and continues to advance constitutional AI methods for building more reliable and steerable AI assistants.,https://www.anthropic.com,Generative AI,Series D,"$30B",San Francisco USA,2021,Forbes AI 50,2026-05-30
013,xAI,Foundation Models & Grok AI,xAI is Elon Musk's AI company building the Grok series of large language models and the Colossus supercomputer. The company closed a landmark $20 billion Series E in January 2026 and is valued at over $200 billion making it one of the most valuable AI startups globally.,https://x.ai,Generative AI,Series E,"$20B",Memphis USA,2023,Crunchbase / Forbes AI 50,2026-05-30
014,Perplexity AI,AI-Powered Answer Engine,Perplexity AI is an AI-powered answer engine that provides direct cited answers to questions using real-time web search and LLMs. With over $1.5B in total funding it has become the go-to research tool for millions of users seeking accurate and sourced information.,https://www.perplexity.ai,Generative AI,Series B,"$1.5B",San Francisco USA,2022,Forbes AI 50,2026-05-30
015,Mistral AI,European Foundation Models & LLMs,Mistral AI is a French AI company developing open-weight and commercial large language models that rival proprietary systems. The company raised 2 billion euros at a 13.8 billion euro valuation and has become Europe's leading AI startup challenging US dominance in foundation models.,https://mistral.ai,Generative AI,Series D,"$2B",Paris France,2023,Forbes AI 50 / Crunchbase,2026-05-30
016,Cohere,Enterprise AI & LLM Platform,Cohere provides enterprise-grade LLMs and RAG (Retrieval-Augmented Generation) solutions for businesses. The company raised $600M at a $7B valuation and focuses on helping organizations deploy secure private AI models within their own infrastructure.,https://cohere.com,Generative AI,Series D,"$600M",Toronto Canada,2019,Forbes AI 50,2026-05-30
017,Anduril Industries,AI-Powered Defense Technology & Autonomous Systems,Anduril creates advanced defense technology by pairing AI software with autonomous hardware systems including drones surveillance towers and underwater vehicles. The company raised another $5B in May 2026 as defense tech startups shatter funding records globally.,https://www.anduril.com,Robotics / Defense,Series F,"$5B",Costa Mesa USA,2017,Forbes AI 50 / Crunchbase,2026-05-30
